episode_id,timestep,split,node_id,pos_x,pos_y,vel_x,vel_y,speed,energy_remaining,mission_priority,in_disruption_zone,node_degree,dist_to_cs,dist_to_uav,can_reach_cs
0,7,train,S8,679.72,812.74,-1.44,-1.76,2.27,90.41,1,0,0,735.05,286.2,0
0,7,train,S9,547.33,373.41,0.95,3.6,3.73,85.52,2,1,3,277.48,221.7,0
0,7,train,S10,695.01,169.66,4.3,-1.57,4.57,80.06,2,0,1,207.08,463.37,0
0,7,train,S11,372.41,530.65,-3.02,1.24,3.26,79.59,3,0,2,449.15,140.72,0
0,7,train,S12,369.69,783.35,3.83,1.46,4.1,83.76,2,0,2,695.67,233.16,0
0,7,train,S13,557.73,671.14,-2.44,1.34,2.78,94.01,2,0,3,574.06,99.59,0
0,7,train,S14,684.74,487.66,4.79,-1.31,4.97,84.7,3,0,3,429.43,211.19,0
0,7,train,S15,664.26,329.0,1.12,3.74,3.9,86.06,1,0,2,281.82,308.39,0
0,7,train,S16,463.3,727.61,-1.61,-1.54,2.23,83.12,1,0,6,628.68,142.42,0
0,7,train,S17,565.28,441.66,-0.56,4.63,4.66,70.73,3,0,4,347.84,162.07,0
0,7,train,S18,516.89,612.43,-0.4,-1.01,1.08,89.31,3,1,2,512.71,28.07,0
0,7,train,S19,597.5,184.46,-0.64,-4.13,4.18,86.17,2,0,2,128.99,417.1,0
0,8,train,S0,523.27,196.29,-4.77,0.54,4.8,96.09,2,0,1,99.07,364.45,0
0,8,train,S1,313.57,364.45,1.02,-1.37,1.7,87.15,3,0,1,323.56,270.18,0
0,8,train,S2,596.43,399.9,-0.07,-1.73,1.73,72.01,3,0,5,315.02,186.89,0
0,8,train,S3,325.74,771.07,-1.07,-1.66,1.98,84.22,2,0,1,693.32,273.71,0
0,8,train,S4,454.96,669.63,2.39,0.54,2.45,95.57,1,0,3,571.41,118.52,0
0,8,train,S5,636.21,522.7,3.74,-2.57,4.54,70.23,2,0,4,444.11,141.23,0
0,8,train,S6,590.76,697.02,-0.26,0.99,1.02,92.28,3,0,4,603.88,164.36,0
0,8,train,S7,369.32,437.99,-0.39,-1.0,1.07,84.01,2,0,3,362.38,178.78,0
0,8,train,S8,678.27,810.98,-1.44,-1.76,2.27,90.4,1,0,0,732.99,307.85,0
0,8,train,S9,548.28,377.02,0.95,3.6,3.73,85.51,2,1,3,281.2,189.24,0
0,8,train,S10,699.31,168.1,4.3,-1.57,4.57,80.05,2,0,1,210.62,439.67,0
0,8,train,S11,369.39,531.88,-3.02,1.24,3.26,79.58,3,0,2,451.2,133.61,0
0,8,train,S12,373.52,784.81,3.83,1.46,4.1,83.75,2,0,2,696.39,257.95,0
0,8,train,S13,555.29,672.48,-2.44,1.34,2.78,94.0,2,0,3,575.15,125.34,0
0,8,train,S14,689.53,486.35,4.79,-1.31,4.97,84.69,3,0,4,430.34,203.34,0
0,8,train,S15,665.38,332.74,1.12,3.74,3.9,86.05,1,0,2,285.51,281.07,0
0,8,train,S16,461.69,726.06,-1.61,-1.54,2.23,83.11,1,0,5,627.23,170.43,0
0,8,train,S17,564.72,446.29,-0.56,4.63,4.66,70.72,3,0,4,352.28,130.84,0
0,8,train,S18,516.49,611.42,-0.4,-1.01,1.08,89.3,3,1,2,511.69,54.0,0
0,8,train,S19,596.85,180.33,-0.64,-4.13,4.18,86.16,2,0,2,125.83,391.83,0
0,9,train,S0,518.5,196.83,-4.77,0.54,4.8,96.08,2,0,1,98.58,333.68,0
0,9,train,S1,314.59,363.08,1.02,-1.37,1.7,87.14,3,0,1,321.86,249.48,0
0,9,train,S2,596.36,398.17,-0.07,-1.73,1.73,72.0,3,0,5,313.36,163.29,0
0,9,train,S3,324.67,769.41,-1.07,-1.66,1.98,84.21,2,0,1,691.99,296.74,0
0,9,train,S4,457.35,670.17,2.39,0.54,2.45,95.56,1,0,3,571.76,146.51,0
0,9,train,S5,639.95,520.13,3.74,-2.57,4.54,70.22,2,0,4,442.83,140.3,0
0,9,train,S6,590.5,698.01,-0.26,0.99,1.02,92.27,3,0,4,604.82,190.84,0
