episode_id,timestep,split,pos_x,pos_y,vel_x,vel_y,speed,energy_remaining,dist_to_cs,cs_connected,avg_sensor_dist,covered_sensors_count,network_components
7,20,train,500.0,260.0,0.0,0.0,0.0,90.0,160.0,1,335.16,11,6
7,21,train,500.0,260.0,0.0,0.0,0.0,89.5,160.0,1,335.61,11,6
7,22,train,500.0,260.0,0.0,0.0,0.0,89.0,160.0,1,336.09,11,7
7,23,train,500.0,260.0,0.0,0.0,0.0,88.5,160.0,1,336.6,11,6
7,24,train,500.0,260.0,0.0,0.0,0.0,88.0,160.0,1,337.14,11,6
8,0,train,500.0,800.0,0.0,0.0,0.0,100.0,700.0,0,280.47,13,8
8,1,train,500.0,770.0,0.0,-30.0,30.0,99.5,670.0,0,267.63,14,9
8,2,train,500.0,740.0,0.0,-30.0,30.0,99.0,640.0,0,258.65,14,9
8,3,train,500.0,710.0,0.0,-30.0,30.0,98.5,610.0,0,252.44,14,9
8,4,train,500.0,680.0,0.0,-30.0,30.0,98.0,580.0,0,247.7,16,9
8,5,train,500.0,650.0,0.0,-30.0,30.0,97.5,550.0,0,244.26,16,9
8,6,train,500.0,620.0,0.0,-30.0,30.0,97.0,520.0,0,242.05,15,9
8,7,train,500.0,590.0,0.0,-30.0,30.0,96.5,490.0,0,241.45,14,9
8,8,train,500.0,560.0,0.0,-30.0,30.0,96.0,460.0,0,244.01,14,9
8,9,train,500.0,530.0,0.0,-30.0,30.0,95.5,430.0,0,249.9,12,10
8,10,train,500.0,500.0,0.0,-30.0,30.0,95.0,400.0,0,259.43,10,9
8,11,train,500.0,470.0,0.0,-30.0,30.0,94.5,370.0,0,270.27,9,7
8,12,train,500.0,440.0,0.0,-30.0,30.0,94.0,340.0,0,282.26,8,8
8,13,train,500.0,410.0,0.0,-30.0,30.0,93.5,310.0,0,295.72,9,8
8,14,train,500.0,380.0,0.0,-30.0,30.0,93.0,280.0,1,311.51,9,7
8,15,train,500.0,350.0,0.0,-30.0,30.0,92.5,250.0,1,329.44,9,7
8,16,train,500.0,320.0,0.0,-30.0,30.0,92.0,220.0,1,348.68,10,6
8,17,train,500.0,290.0,0.0,-30.0,30.0,91.5,190.0,1,368.91,9,3
8,18,train,500.0,260.0,0.0,-30.0,30.0,91.0,160.0,1,390.04,9,3
8,19,train,500.0,260.0,0.0,0.0,0.0,90.5,160.0,1,390.25,9,3
8,20,train,500.0,260.0,0.0,0.0,0.0,90.0,160.0,1,390.48,8,3
8,21,train,500.0,260.0,0.0,0.0,0.0,89.5,160.0,1,390.73,8,4
8,22,train,500.0,260.0,0.0,0.0,0.0,89.0,160.0,1,391.01,8,5
8,23,train,500.0,260.0,0.0,0.0,0.0,88.5,160.0,1,391.32,8,5
8,24,train,500.0,260.0,0.0,0.0,0.0,88.0,160.0,1,391.65,7,5
9,0,train,500.0,800.0,0.0,0.0,0.0,100.0,700.0,0,310.87,10,5
9,1,train,500.0,770.0,0.0,-30.0,30.0,99.5,670.0,0,290.33,10,5
9,2,train,500.0,740.0,0.0,-30.0,30.0,99.0,640.0,0,273.26,11,4
9,3,train,500.0,710.0,0.0,-30.0,30.0,98.5,610.0,0,259.65,12,3
9,4,train,500.0,680.0,0.0,-30.0,30.0,98.0,580.0,0,247.56,14,4
9,5,train,500.0,650.0,0.0,-30.0,30.0,97.5,550.0,0,240.33,14,4
9,6,train,500.0,620.0,0.0,-30.0,30.0,97.0,520.0,0,235.35,15,5
9,7,train,500.0,590.0,0.0,-30.0,30.0,96.5,490.0,0,231.49,15,5
9,8,train,500.0,560.0,0.0,-30.0,30.0,96.0,460.0,0,228.91,14,7
9,9,train,500.0,530.0,0.0,-30.0,30.0,95.5,430.0,0,227.91,14,8
9,10,train,500.0,500.0,0.0,-30.0,30.0,95.0,400.0,0,228.57,16,8
9,11,train,500.0,470.0,0.0,-30.0,30.0,94.5,370.0,0,230.89,16,8
9,12,train,500.0,440.0,0.0,-30.0,30.0,94.0,340.0,0,235.01,13,7
9,13,train,500.0,410.0,0.0,-30.0,30.0,93.5,310.0,0,241.62,13,7
9,14,train,500.0,380.0,0.0,-30.0,30.0,93.0,280.0,1,252.12,12,6
9,15,train,500.0,350.0,0.0,-30.0,30.0,92.5,250.0,1,265.54,12,5
9,16,train,500.0,320.0,0.0,-30.0,30.0,92.0,220.0,1,280.98,12,5
9,17,train,500.0,290.0,0.0,-30.0,30.0,91.5,190.0,1,298.13,11,5
9,18,train,500.0,260.0,0.0,-30.0,30.0,91.0,160.0,1,317.11,10,4
9,19,train,500.0,260.0,0.0,0.0,0.0,90.5,160.0,1,317.9,10,4
9,20,train,500.0,260.0,0.0,0.0,0.0,90.0,160.0,1,318.72,10,4
9,21,train,500.0,260.0,0.0,0.0,0.0,89.5,160.0,1,319.57,10,4
