episode_id,timestep,split,source_node,target_node,distance_m,link_quality,is_active,crosses_disruption
0,8,train,S2,S17,56.19,0.7191,1,0
0,8,train,S3,S12,49.71,0.7514,1,0
0,8,train,S4,S6,138.53,0.3073,1,0
0,8,train,S4,S13,100.37,0.4981,1,0
0,8,train,S4,S16,56.83,0.7159,1,0
0,8,train,S5,S14,64.54,0.6773,1,0
0,8,train,S5,S17,104.65,0.4768,1,0
0,8,train,S5,UAV,141.23,0.5292,1,1
0,8,train,S6,S13,43.13,0.7843,1,0
0,8,train,S6,S16,132.3,0.3385,1,0
0,8,train,S6,S18,113.33,0.4333,1,1
0,8,train,S7,S11,93.89,0.5306,1,0
0,8,train,S7,UAV,178.78,0.4041,1,1
0,8,train,S9,S15,125.19,0.374,1,1
0,8,train,S9,S17,71.19,0.6441,1,1
0,8,train,S10,S19,103.18,0.4841,1,0
0,8,train,S11,UAV,133.61,0.5546,1,1
0,8,train,S12,S16,105.95,0.4703,1,0
0,8,train,S13,S16,107.85,0.4607,1,0
0,8,train,S14,S17,131.09,0.3446,1,0
0,8,train,S14,UAV,203.34,0.3222,1,1
0,8,train,S16,S18,127.07,0.3647,1,1
0,9,train,S0,S19,80.41,0.598,1,0
0,9,train,S1,S7,91.74,0.5413,1,0
0,9,train,S2,S5,129.51,0.3524,1,0
0,9,train,S2,S9,50.29,0.7486,1,1
0,9,train,S2,S14,130.93,0.3453,1,0
0,9,train,S2,S15,93.43,0.5329,1,0
0,9,train,S2,S17,61.79,0.691,1,0
0,9,train,S3,S12,55.31,0.7234,1,0
0,9,train,S4,S6,136.03,0.3199,1,0
0,9,train,S4,S13,95.57,0.5222,1,0
0,9,train,S4,S16,54.42,0.7279,1,0
0,9,train,S5,S14,64.71,0.6764,1,0
0,9,train,S5,S17,102.65,0.4868,1,0
0,9,train,S5,UAV,140.3,0.5323,1,1
0,9,train,S6,S13,44.75,0.7762,1,0
0,9,train,S6,S16,133.09,0.3345,1,0
0,9,train,S6,S18,114.93,0.4253,1,1
0,9,train,S7,S11,96.16,0.5192,1,0
0,9,train,S7,UAV,160.72,0.4643,1,1
0,9,train,S9,S15,125.31,0.3735,1,1
0,9,train,S9,S17,71.86,0.6407,1,1
0,9,train,S10,S19,107.82,0.4609,1,0
0,9,train,S11,UAV,133.67,0.5544,1,1
0,9,train,S12,S16,103.23,0.4838,1,0
0,9,train,S13,S16,105.72,0.4714,1,0
0,9,train,S14,S17,134.57,0.3272,1,0
0,9,train,S14,UAV,199.46,0.3351,1,1
0,9,train,S16,S18,127.11,0.3644,1,1
0,10,train,S0,S19,85.66,0.5717,1,0
0,10,train,S1,S7,91.21,0.5439,1,0
0,10,train,S2,S5,130.06,0.3497,1,0
0,10,train,S2,S9,47.7,0.7615,1,0
0,10,train,S2,S14,134.88,0.3256,1,0
